pid,uptake_year,mc,uptake_group
62003,36,3,2
62005,29,3,2
62008,33,3,2
62012,27,3,2
62076,44,3,2
62077,30,3,2
62105,31,3,2
62130,26,3,2
62348,26,3,2
62355,34,3,2
62401,37,3,2
62438,28,3,2
62451,32,3,2
62464,30,3,2
62468,30,3,2
62472,30,3,2
62604,28,3,2
62654,32,3,2
62667,34,3,2
62679,36,3,2
62703,27,3,2
62728,25,3,2
62740,38,3,2
62833,33,3,2
62847,32,3,2
62882,32,3,2
62888,35,3,2
62983,30,3,2
62994,33,3,2
63051,40,3,2
63056,38,3,2
63112,41,3,2
63115,38,3,2
63148,33,3,2
63251,30,3,2
63253,28,3,2
63296,25,3,2
63323,28,3,2
63345,42,3,2
63354,28,3,2
63373,28,3,2
63376,25,3,2
63385,33,3,2
63499,44,3,2
63585,27,3,2
63639,25,3,2
63701,26,3,2
63713,33,3,2
63737,42,3,2
63925,44,3,2
63936,34,3,2
63943,33,3,2
64009,30,3,2
64054,29,3,2
64073,28,3,2
64107,27,3,2
64226,39,3,2
64256,27,3,2
64268,32,3,2
64282,34,3,2
64288,29,3,2
64395,40,3,2
64416,29,3,2
64420,39,3,2
64422,29,3,2
64449,28,3,2
64458,27,3,2
64473,30,3,2
64479,28,3,2
64485,34,3,2
64527,26,3,2
64572,34,3,2
64601,31,3,2
64616,38,3,2
64660,27,3,2
64683,38,3,2
64691,32,3,2
64719,39,3,2
64729,34,3,2
64745,27,3,2
64747,30,3,2
64760,27,3,2
64783,31,3,2
64786,30,3,2
64793,29,3,2
64795,34,3,2
64817,30,3,2
64851,32,3,2
64883,28,3,2
64893,30,3,2
64905,28,3,2
64962,38,3,2
64966,31,3,2
64999,32,3,2
65002,36,3,2
65220,40,3,2
65244,42,3,2
65272,41,3,2
65416,31,3,2
65425,38,3,2
65479,31,3,2
65520,31,3,2
65523,40,3,2
65549,41,3,2
65632,32,3,2
65648,27,3,2
65715,32,3,2
65716,41,3,2
65746,26,3,2
65801,25,3,2
65825,38,3,2
65845,33,3,2
65850,26,3,2
65872,25,3,2
65901,25,3,2
65932,38,3,2
65948,26,3,2
65962,31,3,2
65963,32,3,2
66307,38,3,2
66420,28,3,2
66448,30,3,2
66455,43,3,2
66483,31,3,2
66506,37,3,2
66530,26,3,2
66589,33,3,2
66651,27,3,2
66697,25,3,2
66745,29,3,2
66765,29,3,2
66786,39,3,2
66794,30,3,2
66795,32,3,2
66877,38,3,2
66881,30,3,2
66895,29,3,2
66913,25,3,2
66962,30,3,2
67020,33,3,2
67032,28,3,2
67040,37,3,2
67041,25,3,2
67099,30,3,2
67153,41,3,2
67161,31,3,2
67179,28,3,2
67213,31,3,2
67282,40,3,2
67387,25,3,2
67401,29,3,2
67439,28,3,2
67458,31,3,2
67492,34,3,2
67526,33,3,2
67529,40,3,2
67558,29,3,2
67559,36,3,2
67568,29,3,2
67597,34,3,2
67615,29,3,2
67625,31,3,2
67663,30,3,2
67794,31,3,2
67799,28,3,2
67888,44,3,2
68007,34,3,2
68041,32,3,2
68053,25,3,2
68076,25,3,2
68104,29,3,2
68139,30,3,2
68180,37,3,2
68201,28,3,2
68238,28,3,2
68255,26,3,2
68266,31,3,2
68274,39,3,2
68298,34,3,2
68328,27,3,2
68335,26,3,2
68340,34,3,2
68343,36,3,2
68344,40,3,2
68392,32,3,2
68413,37,3,2
68439,26,3,2
68457,37,3,2
68514,34,3,2
68525,33,3,2
68653,40,3,2
68675,40,3,2
68689,38,3,2
68746,37,3,2
68771,32,3,2
68844,25,3,2
68862,37,3,2
69033,28,3,2
69050,36,3,2
69076,25,3,2
69180,26,3,2
69183,32,3,2
69226,30,3,2
69346,30,3,2
69353,32,3,2
69357,40,3,2
69388,26,3,2
69408,28,3,2
69466,34,3,2
69517,31,3,2
69532,29,3,2
69542,27,3,2
69603,30,3,2
69611,41,3,2
69670,25,3,2
69838,33,3,2
69895,25,3,2
69898,27,3,2
69899,30,3,2
69914,25,3,2
69950,37,3,2
69973,28,3,2
70005,31,3,2
70014,26,3,2
70059,39,3,2
70116,33,3,2
70140,32,3,2
70154,28,3,2
70175,41,3,2
70182,32,3,2
70295,32,3,2
70298,31,3,2
70301,25,3,2
70310,27,3,2
70347,34,3,2
70439,32,3,2
70487,26,3,2
70493,27,3,2
70618,32,3,2
70623,27,3,2
70668,29,3,2
70723,38,3,2
70742,31,3,2
70801,32,3,2
70947,42,3,2
70948,29,3,2
70958,25,3,2
70974,28,3,2
71011,28,3,2
71018,36,3,2
71190,30,3,2
71232,29,3,2
71305,28,3,2
71401,27,3,2
71438,26,3,2
71456,27,3,2
71479,32,3,2
71481,44,3,2
71504,37,3,2
71540,32,3,2
71544,40,3,2
71571,29,3,2
71590,30,3,2
71660,30,3,2
71720,41,3,2
71754,34,3,2
71761,26,3,2
71792,33,3,2
71808,35,3,2
71881,44,3,2
71885,31,3,2
71961,26,3,2
71967,28,3,2
71992,31,3,2
71999,29,3,2
72004,25,3,2
72005,26,3,2
72108,28,3,2
72140,30,3,2
72146,27,3,2
72187,36,3,2
72326,39,3,2
72390,31,3,2
72417,31,3,2
72482,38,3,2
72503,32,3,2
72515,38,3,2
72541,26,3,2
72573,41,3,2
72660,30,3,2
72671,27,3,2
72742,25,3,2
72828,30,3,2
72862,31,3,2
72895,34,3,2
72972,32,3,2
72990,29,3,2
72993,27,3,2
73033,26,3,2
73073,38,3,2
73089,28,3,2
73097,26,3,2
73134,38,3,2
73143,39,3,2
73149,34,3,2
73287,43,3,2
73418,35,3,2
73427,42,3,2
73483,25,3,2
73507,32,3,2
73526,37,3,2
73541,39,3,2
73598,32,3,2
73600,38,3,2
73640,30,3,2
73655,26,3,2
73670,40,3,2
73703,27,3,2
73727,36,3,2
73744,25,3,2
73754,28,3,2
73767,43,3,2
73784,32,3,2
73832,27,3,2
