pid,uptake_year,uptake_group
100045762,34,3
100046241,25,3
100046348,37,3
100046445,41,3
100046534,44,3
100046721,31,3
100046983,35,3
100047084,38,3
100047139,41,3
100047238,27,3
100047367,30,3
100047476,41,3
100047555,29,3
100047666,35,3
100047880,30,3
100047889,32,3
100048002,43,3
100048008,34,3
100048258,41,3
100048455,38,3
100048488,31,3
100049198,37,3
100049347,36,3
100049488,37,3
100049756,41,3
100049940,34,3
100050002,39,3
100050278,27,3
100050340,41,3
100050381,28,3
100050503,33,3
100050594,38,3
100050768,44,3
100050917,36,3
100050993,35,3
100051121,41,3
100051335,30,3
100051368,43,3
100051496,40,3
100051909,42,3
100052867,41,3
100052945,43,3
100053265,42,3
100053287,38,3
100053301,41,3
100053612,37,3
100053925,28,3
100054021,40,3
100054056,42,3
100054084,39,3
100054383,38,3
100054829,26,3
100055080,31,3
100055149,38,3
100055272,40,3
100055555,35,3
100055556,35,3
100055592,32,3
100056709,34,3
100056742,31,3
100056834,29,3
100057345,29,3
100057431,34,3
100057580,26,3
100057679,25,3
100057728,26,3
100057756,40,3
100058242,34,3
100058458,30,3
100059124,30,3
100059146,25,3
100059631,36,3
100059844,30,3
100059944,27,3
100060665,41,3
100060833,35,3
100061327,38,3
100061488,28,3
100061626,37,3
100061994,28,3
100062222,28,3
100062255,29,3
100062353,36,3
100062371,27,3
100062387,27,3
100062511,27,3
100062517,43,3
100062591,33,3
100062967,33,3
100063189,29,3
100063333,27,3
100063367,26,3
100063564,31,3
100063656,33,3
100063765,25,3
100063766,32,3
100063845,30,3
100063937,31,3
100064032,36,3
100064073,27,3
100064213,25,3
100064294,28,3
100064317,30,3
100064328,25,3
100064335,35,3
100064359,30,3
100065116,25,3
100065378,32,3
100065441,25,3
100065481,25,3
100065592,27,3
100065701,32,3
100065747,35,3
100065872,32,3
100066342,26,3
100066476,33,3
100067007,25,3
100067095,34,3
100067226,44,3
100067241,43,3
100067294,25,3
100067401,32,3
100067407,43,3
100067416,36,3
100067758,32,3
100067906,29,3
100067941,38,3
100068337,38,3
100068353,25,3
100068403,42,3
100068482,35,3
100068650,44,3
100068663,27,3
100068669,26,3
100068682,41,3
100068747,34,3
100068976,32,3
100069024,33,3
100069049,26,3
100069145,26,3
100069204,29,3
100069348,28,3
100069402,31,3
100069413,26,3
100069530,26,3
100069542,33,3
100070034,37,3
100070481,35,3
100071143,31,3
100071176,40,3
100071585,27,3
100071644,42,3
100071865,34,3
100072096,31,3
100072104,37,3
100072568,27,3
100072779,33,3
100072920,38,3
100073089,40,3
100073116,34,3
100073312,38,3
100073383,37,3
100073616,26,3
100073639,27,3
100073794,25,3
100073803,26,3
100074175,25,3
100074210,28,3
100074372,33,3
100074415,26,3
100074419,32,3
100074596,41,3
100074731,25,3
100074849,35,3
100074972,39,3
100075116,28,3
100075159,25,3
100075194,40,3
100075324,27,3
100075572,27,3
100075615,25,3
100075678,28,3
100075996,40,3
100076074,39,3
100076214,31,3
100076276,25,3
100076298,32,3
100076554,26,3
100076839,39,3
100076944,39,3
100076990,44,3
100077345,30,3
100077544,36,3
100077656,33,3
100077849,33,3
100077953,33,3
100077970,34,3
100078101,43,3
100078198,25,3
100078211,27,3
100078378,44,3
100078471,35,3
100078566,30,3
100078767,42,3
100078837,31,3
100079011,26,3
100079184,33,3
100079421,28,3
100079466,41,3
100079785,26,3
100080076,31,3
100080375,31,3
100080423,28,3
100080516,43,3
100080570,40,3
100080994,26,3
100081288,27,3
100081333,42,3
100081413,26,3
100081423,44,3
100081458,41,3
100081616,28,3
100081668,28,3
100081676,32,3
100082265,39,3
100082319,26,3
100082526,38,3
100082553,26,3
100082753,26,3
100083207,42,3
100083451,26,3
100083600,26,3
100083634,30,3
100083648,35,3
100084491,37,3
100084805,29,3
100084834,28,3
100085097,25,3
100085188,28,3
100085357,35,3
100085460,34,3
100085508,25,3
100085855,26,3
100085870,34,3
100086030,32,3
100086045,42,3
100086066,38,3
100086181,35,3
100086457,31,3
100086675,40,3
100086783,25,3
100086825,26,3
100086950,41,3
100087008,26,3
100087016,30,3
100087032,44,3
100087336,26,3
100087586,26,3
100087646,34,3
100087736,41,3
100087800,25,3
100087885,34,3
100087957,26,3
100088011,35,3
100088132,39,3
100088141,35,3
100088149,35,3
100088192,42,3
100088341,25,3
100088528,25,3
100088742,34,3
100088833,39,3
100088870,41,3
100088989,30,3
100089365,35,3
100089454,27,3
100089524,27,3
100089651,27,3
100089817,33,3
100090206,26,3
100090274,27,3
100090276,25,3
100090659,37,3
100090951,39,3
100091185,30,3
100091492,30,3
100091612,31,3
100091740,38,3
100092230,28,3
100092310,28,3
100092415,28,3
100092655,26,3
100092671,29,3
100092780,31,3
100092826,25,3
100092929,41,3
100093200,25,3
100093265,29,3
100093304,32,3
100093343,25,3
100093494,35,3
100093608,26,3
100094015,29,3
100094071,34,3
100094097,27,3
100094131,28,3
100094220,34,3
100094320,31,3
100094414,25,3
100094510,44,3
100094597,36,3
100094687,26,3
100094744,37,3
100094810,32,3
100094827,42,3
100094829,27,3
100094941,38,3
100094964,28,3
100094994,40,3
100095247,37,3
100095367,37,3
100095388,36,3
100095514,31,3
100095744,34,3
100095893,29,3
100095901,35,3
100095930,29,3
100095937,35,3
100096045,38,3
100096048,41,3
100096284,40,3
100096331,26,3
100096448,26,3
100096760,34,3
100096771,36,3
100097098,28,3
