pid,uptake_year,mc,uptake_group
100125614,25,2,1
100125650,25,2,1
100125764,25,2,1
100126050,25,2,1
100126171,25,2,1
100126176,25,2,1
100126291,25,2,1
100126387,25,2,1
100126606,25,2,1
100126668,25,2,1
100126716,25,2,1
100126781,25,2,1
100126782,25,2,1
100126793,25,2,1
100126794,25,2,1
100126809,25,2,1
100126818,25,2,1
100126897,25,2,1
100126913,25,2,1
100126965,25,2,1
100126979,25,2,1
100126985,25,2,1
100127050,25,2,1
100127124,25,2,1
100127230,25,2,1
100127262,25,2,1
100127304,25,2,1
100127351,25,2,1
100127453,25,2,1
100127520,25,2,1
100127527,25,2,1
100127534,25,2,1
100127894,25,2,1
100127906,25,2,1
100127910,25,2,1
100127958,25,2,1
100127960,25,2,1
100128130,25,2,1
100128162,25,2,1
100128183,25,2,1
100128205,25,2,1
100128212,25,2,1
100128408,25,2,1
100128444,25,2,1
100128551,25,2,1
100128555,25,2,1
100128560,25,2,1
100128605,25,2,1
100128722,25,2,1
100128750,25,2,1
100128802,25,2,1
100128884,25,2,1
100128951,25,2,1
100128965,25,2,1
100128992,25,2,1
100129261,25,2,1
100129434,25,2,1
100129491,25,2,1
100129557,25,2,1
100129580,25,2,1
100129645,25,2,1
100129785,25,2,1
100129833,25,2,1
100129836,25,2,1
100130218,25,2,1
100130235,25,2,1
100130493,25,2,1
100130536,25,2,1
100130623,25,2,1
100130777,25,2,1
100130881,25,2,1
100130900,25,2,1
100130983,25,2,1
100131079,25,2,1
100131101,25,2,1
100131237,25,2,1
100131371,25,2,1
100131407,25,2,1
100131574,25,2,1
100131756,25,2,1
100131859,25,2,1
100131978,25,2,1
100132143,25,2,1
100132336,25,2,1
100132354,25,2,1
100132390,25,2,1
100132408,25,2,1
100132480,25,2,1
100132493,25,2,1
100132567,25,2,1
100132622,25,2,1
100132636,25,2,1
100132793,25,2,1
100133067,25,2,1
100133203,25,2,1
100133320,25,2,1
100133375,25,2,1
100133516,25,2,1
100133544,25,2,1
100133587,25,2,1
100133645,25,2,1
100133651,25,2,1
100133721,25,2,1
100133795,25,2,1
100133886,25,2,1
100133943,25,2,1
100133997,25,2,1
100134048,25,2,1
100134054,25,2,1
100134092,25,2,1
100134308,25,2,1
100134317,25,2,1
100134320,25,2,1
100134340,25,2,1
100134572,25,2,1
100134606,25,2,1
100134678,25,2,1
100134710,25,2,1
100134814,25,2,1
100134821,25,2,1
100134866,25,2,1
100134942,25,2,1
100135199,25,2,1
100135217,25,2,1
100135233,25,2,1
100135266,25,2,1
100135499,25,2,1
100135567,25,2,1
100135731,25,2,1
100136121,25,2,1
100136165,25,2,1
100136226,25,2,1
100136240,25,2,1
100136277,25,2,1
100136339,25,2,1
100136521,25,2,1
100136567,25,2,1
100136681,25,2,1
100136770,25,2,1
100136788,25,2,1
100136992,25,2,1
100137098,25,2,1
100137105,25,2,1
100137177,25,2,1
100137200,25,2,1
100137377,25,2,1
100137420,25,2,1
100137453,25,2,1
100137478,25,2,1
100137484,25,2,1
100137686,25,2,1
100137696,25,2,1
100137720,25,2,1
100137725,25,2,1
100137866,25,2,1
100137916,25,2,1
100137929,25,2,1
100137971,25,2,1
100138047,25,2,1
100138172,25,2,1
100138225,25,2,1
100138317,25,2,1
100138381,25,2,1
100138443,25,2,1
100138446,25,2,1
100138520,25,2,1
100138535,25,2,1
100138573,25,2,1
100138631,25,2,1
100138638,25,2,1
