pid,uptake_year,mc
100140721,25,5
100140753,25,5
100140790,25,5
100140831,25,5
100140904,25,5
100140961,25,5
100140991,25,5
100141193,25,5
100141225,25,5
100141254,25,5
100141372,25,5
100141493,25,5
100141504,25,5
100141626,25,5
100141656,25,5
100141865,25,5
100141935,25,5
100142067,25,5
100142148,25,5
100142197,25,5
100142227,25,5
100142242,25,5
100142247,25,5
100142259,25,5
100142340,25,5
100142487,25,5
100142529,25,5
100142617,25,5
100142730,25,5
100142747,25,5
100142837,25,5
100142866,25,5
100142912,25,5
100142986,25,5
100143029,25,5
100143123,25,5
100143295,25,5
100143831,25,5
100143864,25,5
100143878,25,5
100143896,25,5
100143897,25,5
100143957,25,5
100144025,25,5
100144045,25,5
100144053,25,5
100144070,25,5
100144149,25,5
100144196,25,5
100144231,25,5
100144490,25,5
100144502,25,5
100144503,25,5
100144689,25,5
100144731,25,5
100144759,25,5
100144801,25,5
100144938,25,5
100144940,25,5
100145069,25,5
100145212,25,5
100145254,25,5
100145325,25,5
100145438,25,5
100145440,25,5
100145553,25,5
100145606,25,5
100145766,25,5
100145770,25,5
100145829,25,5
100145898,25,5
100146162,25,5
100146167,25,5
100146325,25,5
100146356,25,5
100146388,25,5
100146396,25,5
100146476,25,5
100146477,25,5
100146496,25,5
100146525,25,5
100146545,25,5
100146770,25,5
100146784,25,5
100146827,25,5
100146891,25,5
100147062,25,5
100147218,25,5
100147292,25,5
100147349,25,5
100147430,25,5
100147459,25,5
100147559,25,5
100147573,25,5
100147575,25,5
100147580,25,5
100147748,25,5
100147894,25,5
100147908,25,5
100147951,25,5
100148011,25,5
100148106,25,5
100148217,25,5
100148290,25,5
100148298,25,5
100148361,25,5
100148364,25,5
100148569,25,5
100148707,25,5
100148827,25,5
100148860,25,5
100148867,25,5
100148890,25,5
100148948,25,5
100149022,25,5
100149035,25,5
100149094,25,5
100149104,25,5
100149180,25,5
100149258,25,5
100149516,25,5
100149530,25,5
100149707,25,5
100149732,25,5
100149783,25,5
100149912,25,5
100149948,25,5
100150042,25,5
100150082,25,5
100150167,25,5
100150319,25,5
100150522,25,5
100150579,25,5
100150845,25,5
100151070,25,5
100151080,25,5
100151226,25,5
100151330,25,5
100151912,25,5
100151925,25,5
100151951,25,5
100152086,25,5
100152111,25,5
100152276,25,5
100152278,25,5
100152345,25,5
100152491,25,5
100152534,25,5
100152578,25,5
100152669,25,5
100152672,25,5
100152682,25,5
100152733,25,5
100152761,25,5
100152834,25,5
100153239,25,5
100153374,25,5
100153419,25,5
100153426,25,5
100153427,25,5
100153524,25,5
100153538,25,5
100153550,25,5
100153713,25,5
100153837,25,5
